Call_Number,SiteCode,Latitude,Longitude,Date,Year,Cape,Zone,Transect,Quadrat,Exposure (if noted),RelativeRugosity,SubstrateType,TotalAdultUrchins,PittedUrchins,CreviceUrchins,OpenUrchins,JuvenileUrchins,PittedJuveniles,RecruitUrchins,RedUrchins,EmptyPits,PitsPresent,UrchinSize1,UrchinSize2,UrchinSize3,UrchinSize4,UrchinSize5,Attached red drift ,Attached brown drift ,Attached green drift ,Attached phyllospadix drift,Attached other drift,TotalAttachedDrift,UrchinCover,AlgaeHoldfasts,UnderstoryAlgae,EmphermalGreens ,PhyllospadixRhizomes,CorallineCrusts,RedBrownCrusts,SessileInverts,SandCobble,BareRock,AvailableBareRock,TotalPrimaryCover,Egregia,Hedophyllum,Mastocarpus,Laminaria,Alaria,Mazzaella,Costaria,Phyllospadix,Nereocystis,Pyropia,Lessoniopsis,Fucus,Stephanocystis,Desmerestia ,Red Blade 2,Erhythophyllum (red blade 1),Chondracanthus (turkish towel),Prionitis,Constaninea,Unknown or Other,Diatom,Total Canopy
SB_2024_UPZ_1_1,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,1,,,VB,25,25,0,0,2,,NA,0,28,54,5.6,3.1,4.2,3.9,3.8,1,0,0,2,1,4,NA,0,32,0,0,6,0,1,20,41,NA,100,0,0,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,5
SB_2024_UPZ_1_2,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,2,,,FB,59,59,0,0,1,,NA,0,5,64,3,3,4.2,3.7,5.3,1,0,0,1,1,3,NA,0,7,0.1,0,22,4,0,0,67,NA,100,0,0,0,0,0,0.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0.1
SB_2024_UPZ_1_3,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,3,,,VD,48,48,0,0,2,,NA,0,7,55,4.6,4.7,4,4.4,4.8,0,1,0,1,0,2,NA,0,3,0,0,12,0,0,1,84,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SB_2024_UPZ_1_4,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,4,,,VD,53,53,0,0,3,,NA,0,12,67,3.6,4.3,4.6,3.4,4,0,0,0,1,0,1,NA,0,0,0,0,20,0,4,2,74,NA,100,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,1
SB_2024_UPZ_1_5,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,5,,,VD,62,62,0,0,1,,NA,0,8,71,4,3.7,3.3,3.7,3.4,0,1,0,2,0,3,NA,1,8,0,0,20,0,1,1,69,NA,100,0,4,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,5
SB_2024_UPZ_2_1,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,1,,,FB,41,41,0,0,1,,NA,0,6,52,5.1,4.2,3.8,4,4.2,1,0,0,1,0,2,NA,0,5,1,0,15,1,0,0,78,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SB_2024_UPZ_2_2,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,2,,,FB,46,46,0,0,0,,NA,0,6,52,3.7,4,4.1,5.4,2.2,0,0,0,0,1,1,NA,0,5,1,0,15,1,0,0,78,NA,100,0,1,0,2,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,7
SB_2024_UPZ_2_3,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,3,,,FB,48,48,0,0,0,,NA,0,7,55,4.2,4,4.4,4.1,3.8,0,0,0,1,0,1,NA,0.1,9,0.1,0,9,0,0,3,79,NA,100,0,0,0,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,3
SB_2024_UPZ_2_4,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,4,,,FB,53,53,0,0,1,,NA,0,5,58,4,3,4.4,4.8,3.8,0,0,1,1,0,2,NA,0,6,0,0,8,0,0,3,83,NA,100,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,2
SB_2024_UPZ_2_5,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,5,,,FB,45,45,0,0,1,,NA,0,5,50,3.5,3.4,3.4,3.8,3.4,0,1,0,1,0,2,NA,1,10,0,0,10,0,1,0.1,78,NA,100,0,4,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,6
SB_2024_NPZ_1_1,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,1,,,FB,44,43,0,1,4,,NA,0,1,45,4.7,4.2,3.5,4.5,3.8,0,0,0,1,0,1,NA,0,2,0,0,8,0,0,7,83,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SB_2024_NPZ_1_2,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,2,,,FB,36,26,2,8,2,,NA,0,3,31,5.9,5.4,7.1,5.4,2.7,0,2,0,1,0,3,NA,0,2,0,0,12,2,1,0,83,NA,100,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,1
SB_2024_NPZ_1_3,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,3,,,FB,35,29,4,2,0,,NA,0,1,30,4.2,5.6,4.6,5.7,5.5,0,0,0,1,0,1,NA,0,10,0,0,32,5,1,0,52,NA,100,20,0,0,20,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,40
SB_2024_NPZ_1_4,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,4,,,FB,2,2,0,0,0,,NA,0,0,2,1.9,2.8,4,3.8,3.3,0,0,0,0,0,0,NA,4,35,3,0,3,0,0,0,55,NA,100,3,10,0,14,0,0,14,0,5,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,46
SB_2024_NPZ_1_5,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,5,,,FB,23,23,0,0,0,,NA,0,5,28,4.6,5.4,3.8,4.1,3.6,0,0,0,1,0,1,NA,0.1,23,0,0,11,0,0,1,65,NA,100,11,0,0,9,0,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,27
SB_2024_NPZ_2_1,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,1,,,VD,29,20,8,1,0,,NA,0,0,27,4.2,5.3,4.2,4.5,3.5,0,0,0,0,0,0,NA,1,40,0,0,8,4,4,0,43,NA,100,0,0,0,0,0,20,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,20.1
SB_2024_NPZ_2_2,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,2,,,VD,53,48,5,0,0,,NA,0,2,50,3.2,3.3,4.3,3.5,5.2,0,0,0,0,0,0,NA,0,15,0,0,14,1,0,0,70,NA,100,0,0,0,0,0,0,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0.1
SB_2024_NPZ_2_3,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,3,,,VD,28,21,6,1,3,,NA,0,3,24,3,4,4.6,3.6,4.4,1,0,0,1,0,2,NA,1,25,0,0,24,6,0,9,35,NA,100,0,0,0,0,0,0.1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,6.1
SB_2024_NPZ_2_4,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,4,,,VD,28,23,4,1,0,,NA,0,2,22,5.4,6.1,5.7,5.6,6.3,0,0,0,2,0,2,NA,0,10,0,0,12,3,0,7,68,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SB_2024_NPZ_2_5,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,5,,,VD,20,17,3,0,0,,NA,0,0,17,3.5,4.4,3.4,3.9,4,0,0,0,1,0,1,NA,0,33,0,0,9,5,4,1,48,NA,100,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,2
YB_2024_AZ_1_1,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,1,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,50,7,2,0,4,36,NA,100,0,0,0,0,0,0,0,88,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,88
YB_2024_AZ_1_2,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,2,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,28,0,0,9,3,5,0,48,NA,100,0,26,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,26
YB_2024_AZ_1_3,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,3,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,0,0,15,1,1,0,65,NA,100,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,1
YB_2024_AZ_1_4,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,4,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,30,0,0,4,0,0.1,0,58,NA,100,0,0,0,25,24,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,51
YB_2024_AZ_1_5,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,5,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,86,0,5,1,0,1,1,3,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
YB_2024_AZ_2_1,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,1,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,84,0,0,7,0,0,0,2,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
YB_2024_AZ_2_2,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,2,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,0,0,6,2,0,0,60,NA,100,0,30,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,30
YB_2024_AZ_2_3,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,3,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,80,0,0,0,3,1,0,11,NA,100,24,20,0,0,6,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,58
YB_2024_AZ_2_4,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,4,,,FD,0,0,0,0,0,,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,22,0,0,5,2,2,4,49,NA,100,0,0,0,0,94,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,94
YB_2024_AZ_2_5,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,5,,,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,0,0,11,11,2,2,58,NA,100,6,0,0,0,52,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,58
YB_2024_UPZ_1_1,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,1,,,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,37,0,0,1,5,19,2,36,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
YB_2024_UPZ_1_2,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,2,,,VB,1,1,0,0,0,NA,NA,0,0,0,,NA,NA,NA,NA,0,0,0,0,0,0,NA,0.1,30,0,0,2,0.1,66,0,2,NA,100,0,1,0,0,0,16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,17
YB_2024_UPZ_1_3,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,3,,,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,40,0,0,3,1,53,1,1,NA,100,0,7,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,15
YB_2024_UPZ_1_4,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,4,,,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0.1,11,0,0,0,2,86,0,1,NA,100,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,2
YB_2024_UPZ_1_5,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,5,,,VB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,36,0,0,4,4,10,0,46,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
YB_2024_UPZ_2_1,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,1,,,VB,11,4,6,1,0,NA,NA,0,0,0,3.766,4.503,4.212,4.057,4.778,0,0,1,0,0,1,NA,0,6,1,0,7,9,32,0,45,NA,100,0,0,0,0,0,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,12
YB_2024_UPZ_2_2,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,2,,,VB,5,3,2,0,0,NA,NA,0,0,0,3.701,NA,NA,NA,NA,1,0,0,0,0,1,NA,0,10,0,0,62,2,19,0.1,7,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
YB_2024_UPZ_2_3,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,3,,,VB,1,0,1,0,0,NA,NA,0,0,0,,NA,NA,NA,NA,2,0,0,0,0,2,NA,0,9,0,0,40,4,38,0,9,NA,100,0,0,0,0,0,16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,3,16
YB_2024_UPZ_2_4,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,4,,,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,10,0,0,7,3,19,0,61,NA,100,0,0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,8
YB_2024_UPZ_2_5,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,5,,,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,7,0,0,7,6,27,0.1,53,NA,100,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,1
SH_2024_UPZ_2_1,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,1,,,VB,4,3,0,1,0,,NA,0,0,5,2.284,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6,0,0,4,0,85,1,4,NA,100,0,0,0,0,0,14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,14
SH_2024_UPZ_2_2,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,2,,,VB,1,1,0,0,0,,NA,0,1,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,11,2,0,1,0,85,1,0.1,NA,100,0,0,0,0,4,13,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,17
SH_2024_UPZ_2_3,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,3,,,VB,7,1,3,3,0,,NA,0,1,5,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6,0,0,1,0,91,0,2,NA,100,0,0,0,0,1,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,5
SH_2024_UPZ_2_4,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,4,,,VB,0,0,0,0,0,,NA,0,2,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4,1,0,1,0,93,0,1,NA,100,0,2,0,0,0,14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,16
SH_2024_UPZ_2_5,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,5,,,VB,0,0,0,0,0,,NA,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,14,0.1,0,14,0,67,0,5,NA,100,0,0,0,0,0,15,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,0,NA,0,17
SH_2024_AZ_1_1,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,1,,,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,70,0,4,1,0,1,14,3,NA,100,0,0,0,0,0,6,0,31,0,0,60,0,NA,NA,NA,NA,NA,NA,0,NA,0,97
SH_2024_AZ_1_2,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,2,,,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,80,0,0,1,1,4,3,0,NA,100,0,0,0,0,0,0,0,0,0,0,86,0,NA,NA,NA,NA,NA,NA,0,NA,0,86
SH_2024_AZ_1_3,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,3,,,VB,0,0,0,0,0,,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,10,0,1,5,4,7,1,1,NA,100,0,0,0,0,0,0,0,0,0,0,90,0,NA,NA,NA,NA,NA,NA,0,NA,0,90
SH_2024_AZ_1_4,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,4,,,VB,0,0,0,0,0,,NA,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,71,0,1,8,2,4,3,1,NA,100,0,0,0,0,0,0,0,0,0,0,96,0,NA,NA,NA,NA,NA,NA,0,NA,0,96
SH_2024_AZ_1_5,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,5,,,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,72,0,0,0,0,0,23,0,NA,100,0,0,0,0,0,0,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,0,NA,0,100
SH_2024_AZ_2_1,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,1,,,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,75,0,0,1,6,0,11,0,NA,100,0,0,0,0,0,36,0,0,0,0,60,0,NA,NA,NA,NA,NA,NA,0,NA,0,96
SH_2024_AZ_2_2,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,2,,,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,80,1,0,2,8,1,5,1,NA,100,14,25,0,0,0,40,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,79
SH_2024_AZ_2_3,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,3,,,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,0,0,1,4,2,0,65,NA,100,0,18,0,0,0,50,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,68
SH_2024_AZ_2_4,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,4,,,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,8,2,5,6,0,72,NA,100,0,5,0,0,0,0,0,28,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,33
SH_2024_AZ_2_5,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,5,,,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,9,10,1,2,0,69,NA,100,0,24,0,0,0,0,0,32,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,56
SH_2024_UPZ_1_1,SH,44.24923,-124.1154,6/23/24,2024,CP,UPZ,1,1,,,,0,0,0,0,0,,NA,0,2,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,72,0,0,2,5,20,0,0,NA,100,0,5,0,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,8
SH_2024_UPZ_1_2,SH,44.24923,-124.1154,6/23/24,2024,CP,UPZ,1,2,,,TP,9,9,0,0,0,,NA,0,0,9,,,,,,0,0,0,0,0,0,NA,0,71,0,0,3,2,24,0,0,NA,100,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,1
SH_2024_UPZ_1_3,SH,44.24923,-124.1154,6/23/24,2024,CP,UPZ,1,3,,,,3,3,0,0,0,,NA,0,0,3,,,,NA,NA,0,1,0,0,1,2,NA,0.1,84,0,0,2,0,14,0,0,NA,100,0,0,0,0,0,8,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,NA,0,9
SH_2024_UPZ_1_4,SH,44.24923,-124.1154,6/23/24,2024,CP,UPZ,1,4,,,FB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,1,2,NA,3,32,0,8,1,0,53,1,2,NA,100,0,0,0,0,0,0,0,15,0,0,36,0,NA,NA,NA,NA,NA,NA,0,NA,0,51
SH_2025_UPZ_1_5,SH,44.24923,-124.1154,6/23/24,2025,CP,UPZ,1,5,,,FB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,0,1,0,1,0,2,NA,0,3,0,80,1,5,2,6,3,NA,100,0,0,0,0,0,0,0,100,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,100
