Call_Number,SiteCode,Latitude,Longitude,Date,Year,Cape,Zone,Transect,Quadrat,SubstrateType,TotalUrchins,PittedUrchins,CreviceUrchins,OpenUrchins,JuvenileUrchins,PittedJuveniles,RecruitUrchins,RedUrchins,EmptyPits,PitsPresent,UrchinSize1,UrchinSize2,UrchinSize3,UrchinSize4,UrchinSize5,Attached red drift ,Attached brown drift ,Attached green drift ,Attached phyllospadix drift,Attached other drift,TotalAttachedDrift,Algae holdfasts,Understory algae,Emphermal Greens ,Surfgrass rhizomes ,Coralline crusts,Red and Brown crusts,Sessile invertebrates  ,Sand and Cobble,Bare rock,Total primary cover (must equal 100%),Urchin cover,Available bare rock,Egregia,Hedophyllum,Mastocarpus,Laminaria,Alaria,Mazzaella,Costaria,Phyllospadix (Surfgrass),Nereocystis,Pyropia,Lessoniopsis,Fucus,Stephanocystis,Desmerestia ,Red Blade (Opuntaela),Erhythophyllum (red blade),Chondracanthus (turkish towel),Prionitis,Unknown or Other,Diatom,Total Canopy
YB_2024_UPZ_1_3,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,3,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,40,0,0,3,1,53,1,1,100,NA,NA,0,7,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,15
YB_2024_UPZ_1_4,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,4,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1,11,0,0,0,2,86,0,1,100,NA,NA,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2
YB_2024_UPZ_1_5,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,5,VB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,36,0,0,4,4,10,0,46,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
YB_2024_UPZ_2_1,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,1,VB,11,4,6,1,0,NA,NA,0,0,0,3.766,4.503,4.212,4.057,4.778,0,0,1,0,0,1,0,6,1,0,7,9,32,0,45,100,NA,NA,0,0,0,0,0,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,12
YB_2024_UPZ_2_2,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,2,VB,5,3,2,0,0,NA,NA,0,0,0,3.701,NA,NA,NA,NA,1,0,0,0,0,1,0,10,0,0,62,2,19,0.1,7,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
YB_2024_UPZ_2_3,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,3,VB,1,0,1,0,0,NA,NA,0,0,0,,NA,NA,NA,NA,2,0,0,0,0,2,0,9,0,0,40,4,38,0,9,100,NA,NA,0,0,0,0,0,16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,16
YB_2024_UPZ_2_4,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,4,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10,0,0,7,3,19,0,61,100,NA,NA,0,0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,8
YB_2024_UPZ_2_5,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,2,5,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,7,0,0,7,6,27,0.1,53,100,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1
SH_2024_UPZ_2_1,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,1,VB,4,3,0,1,0,,NA,0,0,5,2.284,NA,NA,NA,NA,0,0,0,0,0,0,0,6,0,0,4,0,85,1,4,100,NA,NA,0,0,0,0,0,14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,14
SH_2024_UPZ_2_2,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,2,VB,1,1,0,0,0,,NA,0,1,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,11,2,0,1,0,85,1,0.1,100,NA,NA,0,0,0,0,4,13,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,17
SH_2024_UPZ_2_3,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,3,VB,7,1,3,3,0,,NA,0,1,5,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,6,0,0,1,0,91,0,2,100,NA,NA,0,0,0,0,1,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,5
SH_2024_UPZ_2_4,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,4,VB,0,0,0,0,0,,NA,0,2,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,4,1,0,1,0,93,0,1,100,NA,NA,0,2,0,0,0,14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,16
SH_2024_UPZ_2_5,SH,44.24923,-124.1154,7/9/24,2024,CP,UPZ,2,5,VB,0,0,0,0,0,,NA,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,14,0.1,0,14,0,67,0,5,100,NA,NA,0,0,0,0,0,15,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,17
SH_2024_AZ_1_1,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,1,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,70,0,4,1,0,1,14,3,100,NA,NA,0,0,0,0,0,6,0,31,0,0,60,0,NA,NA,NA,NA,NA,NA,NA,0,97
SH_2024_AZ_1_2,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,2,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,80,0,0,1,1,4,3,0,100,NA,NA,0,0,0,0,0,0,0,0,0,0,86,0,NA,NA,NA,NA,NA,NA,NA,0,86
SH_2024_AZ_1_3,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,3,VB,0,0,0,0,0,,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,10,0,1,5,4,7,1,1,100,NA,NA,0,0,0,0,0,0,0,0,0,0,90,0,NA,NA,NA,NA,NA,NA,NA,0,90
SH_2024_AZ_1_4,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,4,VB,0,0,0,0,0,,NA,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,71,0,1,8,2,4,3,1,100,NA,NA,0,0,0,0,0,0,0,0,0,0,96,0,NA,NA,NA,NA,NA,NA,NA,0,96
SH_2024_AZ_1_5,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,1,5,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,72,0,0,0,0,0,23,0,100,NA,NA,0,0,0,0,0,0,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,0,100
SH_2024_AZ_2_1,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,1,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,75,0,0,1,6,0,11,0,100,NA,NA,0,0,0,0,0,36,0,0,0,0,60,0,NA,NA,NA,NA,NA,NA,NA,0,96
SH_2024_AZ_2_2,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,2,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,80,1,0,2,8,1,5,1,100,NA,NA,14,25,0,0,0,40,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,79
SH_2024_AZ_2_3,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,3,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,0,0,1,4,2,0,65,100,NA,NA,0,18,0,0,0,50,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,68
SH_2024_AZ_2_4,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,4,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,8,2,5,6,0,72,100,NA,NA,0,5,0,0,0,0,0,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,33
SH_2024_AZ_2_5,SH,44.24923,-124.1154,6/23/24,2024,CP,AZ,2,5,VB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,9,10,1,2,0,69,100,NA,NA,0,24,0,0,0,0,0,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,56
SH_2024_UPZ_1_1,SH,44.24923,-124.1154,6/23/24,2024,CP,UPZ,1,1,,0,0,0,0,0,,NA,0,2,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,72,0,0,2,5,20,0,0,100,NA,NA,0,5,0,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,8
SH_2024_UPZ_1_2,SH,44.24923,-124.1154,6/23/24,2024,CP,UPZ,1,2,TP,9,9,0,0,0,,NA,0,0,9,,,,,,0,0,0,0,0,0,0,71,0,0,3,2,24,0,0,100,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1
SH_2024_UPZ_1_3,SH,44.24923,-124.1154,6/23/24,2024,CP,UPZ,1,3,,3,3,0,0,0,,NA,0,0,3,,,,NA,NA,0,1,0,0,1,2,0.1,84,0,0,2,0,14,0,0,100,NA,NA,0,0,0,0,0,8,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,9
SH_2024_UPZ_1_4,SH,44.24923,-124.1154,6/23/24,2024,CP,UPZ,1,4,FB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,1,2,3,32,0,8,1,0,53,1,2,100,NA,NA,0,0,0,0,0,0,0,15,0,0,36,0,NA,NA,NA,NA,NA,NA,NA,0,51
SH_2025_UPZ_1_5,SH,44.24923,-124.1154,6/23/24,2025,CP,UPZ,1,5,FB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,0,1,0,1,0,2,0,3,0,80,1,5,2,6,3,100,NA,NA,0,0,0,0,0,0,0,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,100
SC_2024_AZ_1_1,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,1,1,FB,0,0,0,0,0,,NA,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,63,19,1,4,1,0,12,0,100,NA,NA,0,0,0,0,0,11,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,13
SC_2024_AZ_1_2,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,1,2,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,57,10,0,4,2,0,16,3,100,NA,NA,96,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,96
